subject,session,date,condition,trial_num,ll_side,choice,last_choice
Gal,1,2018-07-18,Low cost same,3,left,1,NA
Gal,1,2018-07-18,Low cost same,4,right,1,1
Gal,1,2018-07-18,Low cost same,5,left,0,1
Gal,1,2018-07-18,Low cost same,6,right,0,0
Gal,1,2018-07-18,Low cost same,7,left,0,0
Gal,1,2018-07-18,Low cost same,8,right,0,0
Gal,1,2018-09-06,High cost,3,right,0,NA
Gal,1,2018-09-06,High cost,4,left,0,0
Gal,1,2018-09-06,High cost,5,right,0,0
Gal,1,2018-09-06,High cost,6,left,0,0
Gal,1,2018-09-06,High cost,7,left,0,0
Gal,1,2018-09-06,High cost,8,right,0,0
Gal,1,2018-09-19,Low cost different,3,left,1,NA
Gal,1,2018-09-19,Low cost different,4,right,0,1
Gal,1,2018-09-19,Low cost different,5,left,1,0
Gal,1,2018-09-19,Low cost different,6,right,1,1
Gal,1,2018-09-19,Low cost different,7,left,1,1
Gal,1,2018-09-19,Low cost different,8,right,0,1
Gal,2,2018-07-20,Low cost same,3,left,0,NA
Gal,2,2018-07-20,Low cost same,4,left,0,0
Gal,2,2018-07-20,Low cost same,5,left,0,0
Gal,2,2018-07-20,Low cost same,6,right,0,0
Gal,2,2018-07-20,Low cost same,7,right,1,0
Gal,2,2018-07-20,Low cost same,8,right,0,1
Gal,2,2018-09-07,High cost,3,left,0,NA
Gal,2,2018-09-07,High cost,4,right,0,0
Gal,2,2018-09-07,High cost,5,left,0,0
Gal,2,2018-09-07,High cost,6,left,0,0
Gal,2,2018-09-07,High cost,7,right,0,0
Gal,2,2018-09-07,High cost,8,right,0,0
Gal,2,2018-09-20,Low cost different,3,left,1,NA
Gal,2,2018-09-20,Low cost different,4,right,1,1
Gal,2,2018-09-20,Low cost different,5,left,1,1
Gal,2,2018-09-20,Low cost different,6,right,1,1
Gal,2,2018-09-20,Low cost different,7,left,1,1
Gal,2,2018-09-20,Low cost different,8,right,1,1
Gal,3,2018-07-23,Low cost same,3,left,0,NA
Gal,3,2018-07-23,Low cost same,4,left,0,0
Gal,3,2018-07-23,Low cost same,5,left,0,0
Gal,3,2018-07-23,Low cost same,6,right,1,0
Gal,3,2018-07-23,Low cost same,7,right,1,1
Gal,3,2018-07-23,Low cost same,8,right,0,1
Gal,3,2018-09-10,High cost,3,right,0,NA
Gal,3,2018-09-10,High cost,4,left,0,0
Gal,3,2018-09-10,High cost,5,left,0,0
Gal,3,2018-09-10,High cost,6,right,0,0
Gal,3,2018-09-10,High cost,7,right,0,0
Gal,3,2018-09-10,High cost,8,left,0,0
Gal,3,2018-09-21,Low cost different,3,right,1,NA
Gal,3,2018-09-21,Low cost different,4,right,1,1
Gal,3,2018-09-21,Low cost different,5,left,1,1
Gal,3,2018-09-21,Low cost different,6,left,1,1
Gal,3,2018-09-21,Low cost different,7,right,1,1
Gal,3,2018-09-21,Low cost different,8,left,1,1
Gal,4,2018-07-24,Low cost same,3,left,0,NA
Gal,4,2018-07-24,Low cost same,4,right,0,0
Gal,4,2018-07-24,Low cost same,5,right,1,0
Gal,4,2018-07-24,Low cost same,6,left,0,1
Gal,4,2018-07-24,Low cost same,7,right,0,0
Gal,4,2018-07-24,Low cost same,8,left,1,0
Gal,4,2018-09-12,High cost,3,right,0,NA
Gal,4,2018-09-12,High cost,4,right,0,0
Gal,4,2018-09-12,High cost,5,left,0,0
Gal,4,2018-09-12,High cost,6,left,0,0
Gal,4,2018-09-12,High cost,7,left,0,0
Gal,4,2018-09-12,High cost,8,right,0,0
Gal,4,2018-09-24,Low cost different,3,left,0,NA
Gal,4,2018-09-24,Low cost different,4,left,0,0
Gal,4,2018-09-24,Low cost different,5,left,1,0
Gal,4,2018-09-24,Low cost different,6,right,1,1
Gal,4,2018-09-24,Low cost different,7,right,0,1
Gal,4,2018-09-24,Low cost different,8,right,0,0
Gal,5,2018-07-25,Low cost same,3,right,1,NA
Gal,5,2018-07-25,Low cost same,4,left,0,1
Gal,5,2018-07-25,Low cost same,5,right,0,0
Gal,5,2018-07-25,Low cost same,6,right,0,0
Gal,5,2018-07-25,Low cost same,7,left,0,0
Gal,5,2018-07-25,Low cost same,8,left,0,0
Gal,5,2018-09-13,High cost,3,right,0,NA
Gal,5,2018-09-13,High cost,4,right,0,0
Gal,5,2018-09-13,High cost,5,left,0,0
Gal,5,2018-09-13,High cost,6,left,0,0
Gal,5,2018-09-13,High cost,7,right,0,0
Gal,5,2018-09-13,High cost,8,left,0,0
Gal,5,2018-09-25,Low cost different,3,right,0,NA
Gal,5,2018-09-25,Low cost different,4,left,1,0
Gal,5,2018-09-25,Low cost different,5,left,1,1
Gal,5,2018-09-25,Low cost different,6,right,0,1
Gal,5,2018-09-25,Low cost different,7,left,0,0
Gal,5,2018-09-25,Low cost different,8,right,0,0
Gal,6,2018-09-26,Low cost different,3,left,1,NA
Gal,6,2018-09-26,Low cost different,4,right,1,1
Gal,6,2018-09-26,Low cost different,5,right,1,1
Gal,6,2018-09-26,Low cost different,6,right,0,1
Gal,6,2018-09-26,Low cost different,7,left,0,0
Gal,6,2018-09-26,Low cost different,8,left,1,0
Gal,7,2018-09-27,Low cost different,3,right,1,NA
Gal,7,2018-09-27,Low cost different,4,left,1,1
Gal,7,2018-09-27,Low cost different,5,right,1,1
Gal,7,2018-09-27,Low cost different,6,left,0,1
Gal,7,2018-09-27,Low cost different,7,right,0,0
Gal,7,2018-09-27,Low cost different,8,left,1,0
Gal,8,2018-09-28,Low cost different,3,left,1,NA
Gal,8,2018-09-28,Low cost different,4,right,0,1
Gal,8,2018-09-28,Low cost different,5,left,1,0
Gal,8,2018-09-28,Low cost different,6,right,1,1
Gal,8,2018-09-28,Low cost different,7,right,0,1
Gal,8,2018-09-28,Low cost different,8,left,1,0
Gal,9,2018-10-01,Low cost different,3,left,1,NA
Gal,9,2018-10-01,Low cost different,4,left,1,1
Gal,9,2018-10-01,Low cost different,5,right,1,1
Gal,9,2018-10-01,Low cost different,6,left,1,1
Gal,9,2018-10-01,Low cost different,7,right,1,1
Gal,9,2018-10-01,Low cost different,8,right,1,1
Gal,10,2018-10-02,Low cost different,3,left,1,NA
Gal,10,2018-10-02,Low cost different,4,right,1,1
Gal,10,2018-10-02,Low cost different,5,right,0,1
Gal,10,2018-10-02,Low cost different,6,right,0,0
Gal,10,2018-10-02,Low cost different,7,left,1,0
Gal,10,2018-10-02,Low cost different,8,left,1,1
Gal,11,2018-10-04,Low cost different,3,right,0,NA
Gal,11,2018-10-04,Low cost different,4,left,1,0
Gal,11,2018-10-04,Low cost different,5,right,1,1
Gal,11,2018-10-04,Low cost different,6,left,1,1
Gal,11,2018-10-04,Low cost different,7,left,1,1
Gal,11,2018-10-04,Low cost different,8,right,0,1
Gal,12,2018-10-05,Low cost different,3,right,1,NA
Gal,12,2018-10-05,Low cost different,4,right,0,1
Gal,12,2018-10-05,Low cost different,5,left,0,0
Gal,12,2018-10-05,Low cost different,6,left,0,0
Gal,12,2018-10-05,Low cost different,7,right,1,0
Gal,12,2018-10-05,Low cost different,8,left,0,1
Gal,13,2018-10-10,Low cost different,3,right,1,NA
Gal,13,2018-10-10,Low cost different,4,left,1,1
Gal,13,2018-10-10,Low cost different,5,right,0,1
Gal,13,2018-10-10,Low cost different,6,left,0,0
Gal,13,2018-10-10,Low cost different,7,left,0,0
Gal,13,2018-10-10,Low cost different,8,right,0,0
Gal,14,2018-10-11,Low cost different,3,left,0,NA
Gal,14,2018-10-11,Low cost different,4,right,1,0
Gal,14,2018-10-11,Low cost different,5,right,1,1
Gal,14,2018-10-11,Low cost different,6,left,1,1
Gal,14,2018-10-11,Low cost different,7,left,0,1
Gal,14,2018-10-11,Low cost different,8,right,1,0
Gal,15,2018-10-12,Low cost different,3,right,0,NA
Gal,15,2018-10-12,Low cost different,4,right,0,0
Gal,15,2018-10-12,Low cost different,5,right,0,0
Gal,15,2018-10-12,Low cost different,6,left,0,0
Gal,15,2018-10-12,Low cost different,7,left,0,0
Gal,15,2018-10-12,Low cost different,8,left,0,0
Gal,16,2018-10-15,Low cost different,3,left,1,NA
Gal,16,2018-10-15,Low cost different,4,left,0,1
Gal,16,2018-10-15,Low cost different,5,right,0,0
Gal,16,2018-10-15,Low cost different,6,left,0,0
Gal,16,2018-10-15,Low cost different,7,right,0,0
Gal,16,2018-10-15,Low cost different,8,right,0,0
Gal,17,2018-10-16,Low cost different,3,left,0,NA
Gal,17,2018-10-16,Low cost different,4,left,0,0
Gal,17,2018-10-16,Low cost different,5,right,1,0
Gal,17,2018-10-16,Low cost different,6,left,1,1
Gal,17,2018-10-16,Low cost different,7,right,0,1
Gal,17,2018-10-16,Low cost different,8,right,1,0
Gal,18,2018-10-17,Low cost different,3,right,0,NA
Gal,18,2018-10-17,Low cost different,4,left,0,0
Gal,18,2018-10-17,Low cost different,5,left,0,0
Gal,18,2018-10-17,Low cost different,6,right,0,0
Gal,18,2018-10-17,Low cost different,7,right,0,0
Gal,18,2018-10-17,Low cost different,8,left,0,0
Gal,19,2018-10-18,Low cost different,3,left,0,NA
Gal,19,2018-10-18,Low cost different,4,left,0,0
Gal,19,2018-10-18,Low cost different,5,left,1,0
Gal,19,2018-10-18,Low cost different,6,right,0,1
Gal,19,2018-10-18,Low cost different,7,right,0,0
Gal,19,2018-10-18,Low cost different,8,right,0,0
Gal,20,2018-10-19,Low cost different,3,left,1,NA
Gal,20,2018-10-19,Low cost different,4,left,0,1
Gal,20,2018-10-19,Low cost different,5,right,0,0
Gal,20,2018-10-19,Low cost different,6,right,0,0
Gal,20,2018-10-19,Low cost different,7,right,0,0
Gal,20,2018-10-19,Low cost different,8,left,1,0
Gal,21,2018-10-22,Low cost different,3,right,0,NA
Gal,21,2018-10-22,Low cost different,4,left,1,0
Gal,21,2018-10-22,Low cost different,5,right,0,1
Gal,21,2018-10-22,Low cost different,6,left,1,0
Gal,21,2018-10-22,Low cost different,7,right,1,1
Gal,21,2018-10-22,Low cost different,8,left,1,1
Gal,22,2018-10-23,Low cost different,3,left,1,NA
Gal,22,2018-10-23,Low cost different,4,left,1,1
Gal,22,2018-10-23,Low cost different,5,right,0,1
Gal,22,2018-10-23,Low cost different,6,right,0,0
Gal,22,2018-10-23,Low cost different,7,right,0,0
Gal,22,2018-10-23,Low cost different,8,left,1,0
Gal,23,2018-10-24,Low cost different,3,right,0,NA
Gal,23,2018-10-24,Low cost different,4,right,0,0
Gal,23,2018-10-24,Low cost different,5,left,0,0
Gal,23,2018-10-24,Low cost different,6,left,1,0
Gal,23,2018-10-24,Low cost different,7,right,0,1
Gal,23,2018-10-24,Low cost different,8,left,1,0
Gal,24,2018-10-25,Low cost different,3,right,0,NA
Gal,24,2018-10-25,Low cost different,4,left,1,0
Gal,24,2018-10-25,Low cost different,5,left,0,1
Gal,24,2018-10-25,Low cost different,6,right,0,0
Gal,24,2018-10-25,Low cost different,7,left,0,0
Gal,24,2018-10-25,Low cost different,8,right,0,0
Gal,25,2018-10-26,Low cost different,3,left,1,NA
Gal,25,2018-10-26,Low cost different,4,left,1,1
Gal,25,2018-10-26,Low cost different,5,right,0,1
Gal,25,2018-10-26,Low cost different,6,right,1,0
Gal,25,2018-10-26,Low cost different,7,right,0,1
Gal,25,2018-10-26,Low cost different,8,left,1,0
Gal,26,2018-10-29,Low cost different,3,right,0,NA
Gal,26,2018-10-29,Low cost different,4,left,1,0
Gal,26,2018-10-29,Low cost different,5,right,0,1
Gal,26,2018-10-29,Low cost different,6,left,1,0
Gal,26,2018-10-29,Low cost different,7,right,1,1
Gal,26,2018-10-29,Low cost different,8,left,1,1
Gal,27,2018-10-31,Low cost different,3,right,1,NA
Gal,27,2018-10-31,Low cost different,4,left,1,1
Gal,27,2018-10-31,Low cost different,5,left,1,1
Gal,27,2018-10-31,Low cost different,6,right,0,1
Gal,27,2018-10-31,Low cost different,7,right,0,0
Gal,27,2018-10-31,Low cost different,8,left,1,0
Gal,28,2018-11-05,Low cost different,3,right,1,NA
Gal,28,2018-11-05,Low cost different,4,left,1,1
Gal,28,2018-11-05,Low cost different,5,left,0,1
Gal,28,2018-11-05,Low cost different,6,right,0,0
Gal,28,2018-11-05,Low cost different,7,right,0,0
Gal,28,2018-11-05,Low cost different,8,left,0,0
Gal,29,2018-11-06,Low cost different,3,right,0,NA
Gal,29,2018-11-06,Low cost different,4,left,0,0
Gal,29,2018-11-06,Low cost different,5,right,0,0
Gal,29,2018-11-06,Low cost different,6,left,1,0
Gal,29,2018-11-06,Low cost different,7,left,1,1
Gal,29,2018-11-06,Low cost different,8,right,0,1
Gal,30,2018-11-09,Low cost different,3,left,1,NA
Gal,30,2018-11-09,Low cost different,4,right,0,1
Gal,30,2018-11-09,Low cost different,5,right,0,0
Gal,30,2018-11-09,Low cost different,6,left,1,0
Gal,30,2018-11-09,Low cost different,7,left,1,1
Gal,30,2018-11-09,Low cost different,8,right,0,1
Gal,31,2018-11-12,Low cost different,3,right,0,NA
Gal,31,2018-11-12,Low cost different,4,right,0,0
Gal,31,2018-11-12,Low cost different,5,left,1,0
Gal,31,2018-11-12,Low cost different,6,left,1,1
Gal,31,2018-11-12,Low cost different,7,right,0,1
Gal,31,2018-11-12,Low cost different,8,left,1,0
Gal,32,2018-11-13,Low cost different,3,right,1,NA
Gal,32,2018-11-13,Low cost different,4,left,0,1
Gal,32,2018-11-13,Low cost different,5,right,1,0
Gal,32,2018-11-13,Low cost different,6,left,0,1
Gal,32,2018-11-13,Low cost different,7,left,1,0
Gal,32,2018-11-13,Low cost different,8,right,1,1
Gal,33,2018-11-15,Low cost different,3,right,0,NA
Gal,33,2018-11-15,Low cost different,4,right,0,0
Gal,33,2018-11-15,Low cost different,5,left,1,0
Gal,33,2018-11-15,Low cost different,6,right,0,1
Gal,33,2018-11-15,Low cost different,7,left,1,0
Gal,33,2018-11-15,Low cost different,8,left,1,1
Gal,34,2018-11-16,Low cost different,3,right,0,NA
Gal,34,2018-11-16,Low cost different,4,left,1,0
Gal,34,2018-11-16,Low cost different,5,right,0,1
Gal,34,2018-11-16,Low cost different,6,left,1,0
Gal,34,2018-11-16,Low cost different,7,left,1,1
Gal,34,2018-11-16,Low cost different,8,right,0,1
Paprica,1,2018-07-16,High cost,3,left,0,NA
Paprica,1,2018-07-16,High cost,4,right,1,0
Paprica,1,2018-07-16,High cost,5,right,0,1
Paprica,1,2018-07-16,High cost,6,right,1,0
Paprica,1,2018-07-16,High cost,7,left,1,1
Paprica,1,2018-07-16,High cost,8,left,1,1
Paprica,1,2018-09-06,Low cost same,3,left,0,NA
Paprica,1,2018-09-06,Low cost same,4,left,0,0
Paprica,1,2018-09-06,Low cost same,5,right,0,0
Paprica,1,2018-09-06,Low cost same,6,right,0,0
Paprica,1,2018-09-06,Low cost same,7,left,0,0
Paprica,1,2018-09-06,Low cost same,8,right,0,0
Paprica,1,2018-09-19,Low cost different,3,right,0,NA
Paprica,1,2018-09-19,Low cost different,4,left,0,0
Paprica,1,2018-09-19,Low cost different,5,left,0,0
Paprica,1,2018-09-19,Low cost different,6,left,0,0
Paprica,1,2018-09-19,Low cost different,7,right,1,0
Paprica,1,2018-09-19,Low cost different,8,right,0,1
Paprica,2,2018-07-18,High cost,3,right,1,NA
Paprica,2,2018-07-18,High cost,4,left,1,1
Paprica,2,2018-07-18,High cost,5,right,1,1
Paprica,2,2018-07-18,High cost,6,left,0,1
Paprica,2,2018-07-18,High cost,7,right,0,0
Paprica,2,2018-07-18,High cost,8,left,0,0
Paprica,2,2018-09-07,Low cost same,3,right,0,NA
Paprica,2,2018-09-07,Low cost same,4,right,0,0
Paprica,2,2018-09-07,Low cost same,5,left,0,0
Paprica,2,2018-09-07,Low cost same,6,left,0,0
Paprica,2,2018-09-07,Low cost same,7,left,0,0
Paprica,2,2018-09-07,Low cost same,8,right,0,0
Paprica,2,2018-09-20,Low cost different,3,right,1,NA
Paprica,2,2018-09-20,Low cost different,4,left,0,1
Paprica,2,2018-09-20,Low cost different,5,left,0,0
Paprica,2,2018-09-20,Low cost different,6,right,0,0
Paprica,2,2018-09-20,Low cost different,7,right,1,0
Paprica,2,2018-09-20,Low cost different,8,left,0,1
Paprica,3,2018-07-20,High cost,3,left,0,NA
Paprica,3,2018-07-20,High cost,4,left,0,0
Paprica,3,2018-07-20,High cost,5,right,1,0
Paprica,3,2018-07-20,High cost,6,right,0,1
Paprica,3,2018-07-20,High cost,7,right,0,0
Paprica,3,2018-07-20,High cost,8,left,0,0
Paprica,3,2018-09-10,Low cost same,3,right,0,NA
Paprica,3,2018-09-10,Low cost same,4,right,0,0
Paprica,3,2018-09-10,Low cost same,5,right,0,0
Paprica,3,2018-09-10,Low cost same,6,left,0,0
Paprica,3,2018-09-10,Low cost same,7,left,0,0
Paprica,3,2018-09-10,Low cost same,8,left,0,0
Paprica,3,2018-09-21,Low cost different,3,right,0,NA
Paprica,3,2018-09-21,Low cost different,4,right,0,0
Paprica,3,2018-09-21,Low cost different,5,right,0,0
Paprica,3,2018-09-21,Low cost different,6,left,0,0
Paprica,3,2018-09-21,Low cost different,7,left,0,0
Paprica,3,2018-09-21,Low cost different,8,left,0,0
Paprica,4,2018-07-23,High cost,3,right,0,NA
Paprica,4,2018-07-23,High cost,4,right,0,0
Paprica,4,2018-07-23,High cost,5,right,0,0
Paprica,4,2018-07-23,High cost,6,left,0,0
Paprica,4,2018-07-23,High cost,7,left,1,0
Paprica,4,2018-07-23,High cost,8,left,0,1
Paprica,4,2018-09-12,Low cost same,3,left,0,NA
Paprica,4,2018-09-12,Low cost same,4,right,0,0
Paprica,4,2018-09-12,Low cost same,5,right,0,0
Paprica,4,2018-09-12,Low cost same,6,left,0,0
Paprica,4,2018-09-12,Low cost same,7,left,0,0
Paprica,4,2018-09-12,Low cost same,8,right,0,0
Paprica,4,2018-09-24,Low cost different,3,left,0,NA
Paprica,4,2018-09-24,Low cost different,4,right,0,0
Paprica,4,2018-09-24,Low cost different,5,left,0,0
Paprica,4,2018-09-24,Low cost different,6,left,0,0
Paprica,4,2018-09-24,Low cost different,7,right,1,0
Paprica,4,2018-09-24,Low cost different,8,right,0,1
Paprica,5,2018-07-24,High cost,3,left,0,NA
Paprica,5,2018-07-24,High cost,4,left,0,0
Paprica,5,2018-07-24,High cost,5,right,0,0
Paprica,5,2018-07-24,High cost,6,left,1,0
Paprica,5,2018-07-24,High cost,7,right,1,1
Paprica,5,2018-07-24,High cost,8,right,0,1
Paprica,5,2018-09-13,Low cost same,3,right,0,NA
Paprica,5,2018-09-13,Low cost same,4,left,0,0
Paprica,5,2018-09-13,Low cost same,5,right,0,0
Paprica,5,2018-09-13,Low cost same,6,right,0,0
Paprica,5,2018-09-13,Low cost same,7,left,1,0
Paprica,5,2018-09-13,Low cost same,8,left,0,1
Paprica,5,2018-09-25,Low cost different,3,right,0,NA
Paprica,5,2018-09-25,Low cost different,4,right,0,0
Paprica,5,2018-09-25,Low cost different,5,left,0,0
Paprica,5,2018-09-25,Low cost different,6,left,0,0
Paprica,5,2018-09-25,Low cost different,7,left,0,0
Paprica,5,2018-09-25,Low cost different,8,right,0,0
Paprica,6,2018-07-25,High cost,3,right,0,NA
Paprica,6,2018-07-25,High cost,4,right,0,0
Paprica,6,2018-07-25,High cost,5,left,0,0
Paprica,6,2018-07-25,High cost,6,left,0,0
Paprica,6,2018-07-25,High cost,7,right,0,0
Paprica,6,2018-07-25,High cost,8,left,0,0
Paprica,6,2018-09-26,Low cost different,3,left,0,NA
Paprica,6,2018-09-26,Low cost different,4,right,0,0
Paprica,6,2018-09-26,Low cost different,5,right,0,0
Paprica,6,2018-09-26,Low cost different,6,left,0,0
Paprica,6,2018-09-26,Low cost different,7,left,0,0
Paprica,6,2018-09-26,Low cost different,8,right,0,0
Paprica,7,2018-07-26,High cost,3,left,0,NA
Paprica,7,2018-07-26,High cost,4,left,0,0
Paprica,7,2018-07-26,High cost,5,left,0,0
Paprica,7,2018-07-26,High cost,6,right,0,0
Paprica,7,2018-07-26,High cost,7,right,1,0
Paprica,7,2018-07-26,High cost,8,right,0,1
Paprica,7,2018-09-27,Low cost different,3,right,0,NA
Paprica,7,2018-09-27,Low cost different,4,left,0,0
Paprica,7,2018-09-27,Low cost different,5,right,1,0
Paprica,7,2018-09-27,Low cost different,6,left,0,1
Paprica,7,2018-09-27,Low cost different,7,right,0,0
Paprica,7,2018-09-27,Low cost different,8,left,0,0
Paprica,8,2018-07-27,High cost,3,right,1,NA
Paprica,8,2018-07-27,High cost,4,left,0,1
Paprica,8,2018-07-27,High cost,5,left,0,0
Paprica,8,2018-07-27,High cost,6,right,0,0
Paprica,8,2018-07-27,High cost,7,left,0,0
Paprica,8,2018-07-27,High cost,8,right,0,0
Paprica,9,2018-07-30,High cost,3,right,0,NA
Paprica,9,2018-07-30,High cost,4,left,0,0
Paprica,9,2018-07-30,High cost,5,right,0,0
Paprica,9,2018-07-30,High cost,6,right,1,0
Paprica,9,2018-07-30,High cost,7,left,0,1
Paprica,9,2018-07-30,High cost,8,left,0,0
Paprica,10,2018-07-31,High cost,3,left,0,NA
Paprica,10,2018-07-31,High cost,4,right,0,0
Paprica,10,2018-07-31,High cost,5,left,0,0
Paprica,10,2018-07-31,High cost,6,left,0,0
Paprica,10,2018-07-31,High cost,7,right,0,0
Paprica,10,2018-07-31,High cost,8,right,0,0
Roberta,1,2018-07-16,High cost,3,left,1,NA
Roberta,1,2018-07-16,High cost,4,right,0,1
Roberta,1,2018-07-16,High cost,5,left,0,0
Roberta,1,2018-07-16,High cost,6,right,0,0
Roberta,1,2018-07-16,High cost,7,right,1,0
Roberta,1,2018-07-16,High cost,8,left,0,1
Roberta,1,2018-09-07,Low cost different,3,right,1,NA
Roberta,1,2018-09-07,Low cost different,4,left,0,1
Roberta,1,2018-09-07,Low cost different,5,left,0,0
Roberta,1,2018-09-07,Low cost different,6,left,1,0
Roberta,1,2018-09-07,Low cost different,7,right,1,1
Roberta,1,2018-09-07,Low cost different,8,right,0,1
Roberta,1,2018-10-26,Low cost same,3,right,1,NA
Roberta,1,2018-10-26,Low cost same,4,right,1,1
Roberta,1,2018-10-26,Low cost same,5,right,0,1
Roberta,1,2018-10-26,Low cost same,6,left,0,0
Roberta,1,2018-10-26,Low cost same,7,left,0,0
Roberta,1,2018-10-26,Low cost same,8,left,0,0
Roberta,2,2018-07-17,High cost,3,right,1,NA
Roberta,2,2018-07-17,High cost,4,left,0,1
Roberta,2,2018-07-17,High cost,5,right,1,0
Roberta,2,2018-07-17,High cost,6,right,0,1
Roberta,2,2018-07-17,High cost,7,left,0,0
Roberta,2,2018-07-17,High cost,8,left,0,0
Roberta,2,2018-09-10,Low cost different,3,right,0,NA
Roberta,2,2018-09-10,Low cost different,4,left,0,0
Roberta,2,2018-09-10,Low cost different,5,left,0,0
Roberta,2,2018-09-10,Low cost different,6,left,0,0
Roberta,2,2018-09-10,Low cost different,7,right,0,0
Roberta,2,2018-09-10,Low cost different,8,right,0,0
Roberta,2,2018-10-29,Low cost same,3,left,0,NA
Roberta,2,2018-10-29,Low cost same,4,left,0,0
Roberta,2,2018-10-29,Low cost same,5,right,0,0
Roberta,2,2018-10-29,Low cost same,6,right,1,0
Roberta,2,2018-10-29,Low cost same,7,right,0,1
Roberta,2,2018-10-29,Low cost same,8,left,0,0
Roberta,3,2018-07-18,High cost,3,left,0,NA
Roberta,3,2018-07-18,High cost,4,right,0,0
Roberta,3,2018-07-18,High cost,5,left,0,0
Roberta,3,2018-07-18,High cost,6,right,0,0
Roberta,3,2018-07-18,High cost,7,left,0,0
Roberta,3,2018-07-18,High cost,8,right,0,0
Roberta,3,2018-09-12,Low cost different,3,right,1,NA
Roberta,3,2018-09-12,Low cost different,4,left,0,1
Roberta,3,2018-09-12,Low cost different,5,right,1,0
Roberta,3,2018-09-12,Low cost different,6,left,1,1
Roberta,3,2018-09-12,Low cost different,7,right,0,1
Roberta,3,2018-09-12,Low cost different,8,left,0,0
Roberta,3,2018-10-31,Low cost same,3,left,0,NA
Roberta,3,2018-10-31,Low cost same,4,left,0,0
Roberta,3,2018-10-31,Low cost same,5,right,0,0
Roberta,3,2018-10-31,Low cost same,6,right,0,0
Roberta,3,2018-10-31,Low cost same,7,right,0,0
Roberta,3,2018-10-31,Low cost same,8,left,0,0
Roberta,4,2018-07-19,High cost,3,right,0,NA
Roberta,4,2018-07-19,High cost,4,right,0,0
Roberta,4,2018-07-19,High cost,5,left,0,0
Roberta,4,2018-07-19,High cost,6,left,0,0
Roberta,4,2018-07-19,High cost,7,right,0,0
Roberta,4,2018-07-19,High cost,8,left,0,0
Roberta,4,2018-09-13,Low cost different,3,right,1,NA
Roberta,4,2018-09-13,Low cost different,4,right,0,1
Roberta,4,2018-09-13,Low cost different,5,left,1,0
Roberta,4,2018-09-13,Low cost different,6,left,0,1
Roberta,4,2018-09-13,Low cost different,7,left,0,0
Roberta,4,2018-09-13,Low cost different,8,right,1,0
