subject,question,order_presented,choice_LL,small_amount,short_delay,large_amount,long_delay,k
1,10,7,1,22,0,70,20,0.109
1,9,2,1,15,0,50,45,0.0518
1,8,3,1,24,0,63,50,0.0325
1,7,6,1,27,0,69,90,0.0173
1,6,9,1,17,0,52,220,0.0094
1,5,10,1,33,0,60,110,0.0074
1,4,8,0,31,0,59,150,0.006
1,3,5,0,35,0,55,100,0.0057
1,2,4,1,29,0,59,275,0.0038
1,1,1,0,34,0,51,195,0.0026
2,10,10,1,22,0,70,20,0.109
2,9,9,1,15,0,50,45,0.0518
2,8,2,1,24,0,63,50,0.0325
2,7,8,1,27,0,69,90,0.0173
2,6,6,1,17,0,52,220,0.0094
2,5,4,1,33,0,60,110,0.0074
2,4,3,1,31,0,59,150,0.006
2,3,1,1,35,0,55,100,0.0057
2,2,5,1,29,0,59,275,0.0038
2,1,7,1,34,0,51,195,0.0026
3,10,6,1,22,0,70,20,0.109
3,9,2,0,15,0,50,45,0.0518
3,8,10,1,24,0,63,50,0.0325
3,7,7,0,27,0,69,90,0.0173
3,6,3,0,17,0,52,220,0.0094
3,5,4,0,33,0,60,110,0.0074
3,4,9,0,31,0,59,150,0.006
3,3,5,0,35,0,55,100,0.0057
3,2,1,0,29,0,59,275,0.0038
3,1,8,0,34,0,51,195,0.0026
4,10,5,1,22,0,70,20,0.109
4,9,4,1,15,0,50,45,0.0518
4,8,3,1,24,0,63,50,0.0325
4,7,8,1,27,0,69,90,0.0173
4,6,7,1,17,0,52,220,0.0094
4,5,6,1,33,0,60,110,0.0074
4,4,9,1,31,0,59,150,0.006
4,3,10,0,35,0,55,100,0.0057
4,2,7,0,29,0,59,275,0.0038
4,1,1,0,34,0,51,195,0.0026
5,10,10,1,22,0,70,20,0.109
5,9,3,1,15,0,50,45,0.0518
5,8,8,1,24,0,63,50,0.0325
5,7,5,1,27,0,69,90,0.0173
5,6,2,1,17,0,52,220,0.0094
5,5,7,1,33,0,60,110,0.0074
5,4,1,1,31,0,59,150,0.006
5,3,9,1,35,0,55,100,0.0057
5,2,6,1,29,0,59,275,0.0038
5,1,4,1,34,0,51,195,0.0026
6,10,5,1,22,0,70,20,0.109
6,9,2,1,15,0,50,45,0.0518
6,8,3,1,24,0,63,50,0.0325
6,7,1,1,27,0,69,90,0.0173
6,6,7,1,17,0,52,220,0.0094
6,5,4,1,33,0,60,110,0.0074
6,4,6,1,31,0,59,150,0.006
6,3,8,0,35,0,55,100,0.0057
6,2,10,1,29,0,59,275,0.0038
6,1,9,1,34,0,51,195,0.0026
7,10,7,1,22,0,70,20,0.109
7,9,9,1,15,0,50,45,0.0518
7,8,4,1,24,0,63,50,0.0325
7,7,6,1,27,0,69,90,0.0173
7,6,1,0,17,0,52,220,0.0094
7,5,2,0,33,0,60,110,0.0074
7,4,10,0,31,0,59,150,0.006
7,3,3,0,35,0,55,100,0.0057
7,2,5,0,29,0,59,275,0.0038
7,1,8,0,34,0,51,195,0.0026
8,10,10,1,22,0,70,20,0.109
8,9,2,1,15,0,50,45,0.0518
8,8,1,1,24,0,63,50,0.0325
8,7,5,1,27,0,69,90,0.0173
8,6,7,0,17,0,52,220,0.0094
8,5,3,0,33,0,60,110,0.0074
8,4,4,0,31,0,59,150,0.006
8,3,9,1,35,0,55,100,0.0057
8,2,6,0,29,0,59,275,0.0038
8,1,8,1,34,0,51,195,0.0026
9,10,5,1,22,0,70,20,0.109
9,9,3,1,15,0,50,45,0.0518
9,8,1,1,24,0,63,50,0.0325
9,7,4,0,27,0,69,90,0.0173
9,6,9,0,17,0,52,220,0.0094
9,5,6,0,33,0,60,110,0.0074
9,4,7,0,31,0,59,150,0.006
9,3,2,0,35,0,55,100,0.0057
9,2,8,0,29,0,59,275,0.0038
9,1,10,0,34,0,51,195,0.0026
10,10,6,1,22,0,70,20,0.109
10,9,7,1,15,0,50,45,0.0518
10,8,4,1,24,0,63,50,0.0325
10,7,10,1,27,0,69,90,0.0173
10,6,1,1,17,0,52,220,0.0094
10,5,2,1,33,0,60,110,0.0074
10,4,5,1,31,0,59,150,0.006
10,3,9,1,35,0,55,100,0.0057
10,2,8,1,29,0,59,275,0.0038
10,1,3,1,34,0,51,195,0.0026
11,10,4,1,22,0,70,20,0.109
11,9,1,1,15,0,50,45,0.0518
11,8,2,1,24,0,63,50,0.0325
11,7,3,0,27,0,69,90,0.0173
11,6,9,0,17,0,52,220,0.0094
11,5,7,0,33,0,60,110,0.0074
11,4,8,0,31,0,59,150,0.006
11,3,6,0,35,0,55,100,0.0057
11,2,10,1,29,0,59,275,0.0038
11,1,5,0,34,0,51,195,0.0026
12,10,4,1,22,0,70,20,0.109
12,9,8,1,15,0,50,45,0.0518
12,8,9,1,24,0,63,50,0.0325
12,7,3,1,27,0,69,90,0.0173
12,6,5,1,17,0,52,220,0.0094
12,5,2,1,33,0,60,110,0.0074
12,4,6,1,31,0,59,150,0.006
12,3,7,1,35,0,55,100,0.0057
12,2,10,0,29,0,59,275,0.0038
12,1,1,0,34,0,51,195,0.0026
13,10,8,1,22,0,70,20,0.109
13,9,7,1,15,0,50,45,0.0518
13,8,4,1,24,0,63,50,0.0325
13,7,6,1,27,0,69,90,0.0173
13,6,3,1,17,0,52,220,0.0094
13,5,10,1,33,0,60,110,0.0074
13,4,1,1,31,0,59,150,0.006
13,3,9,1,35,0,55,100,0.0057
13,2,2,1,29,0,59,275,0.0038
13,1,5,1,34,0,51,195,0.0026
14,10,1,1,22,0,70,20,0.109
14,9,3,1,15,0,50,45,0.0518
14,8,7,1,24,0,63,50,0.0325
14,7,9,1,27,0,69,90,0.0173
14,6,6,1,17,0,52,220,0.0094
14,5,8,1,33,0,60,110,0.0074
14,4,5,1,31,0,59,150,0.006
14,3,4,1,35,0,55,100,0.0057
14,2,10,0,29,0,59,275,0.0038
14,1,2,0,34,0,51,195,0.0026
15,10,9,1,22,0,70,20,0.109
15,9,8,1,15,0,50,45,0.0518
15,8,7,1,24,0,63,50,0.0325
15,7,10,1,27,0,69,90,0.0173
15,6,4,1,17,0,52,220,0.0094
15,5,3,1,33,0,60,110,0.0074
15,4,1,1,31,0,59,150,0.006
15,3,2,1,35,0,55,100,0.0057
15,2,6,1,29,0,59,275,0.0038
15,1,10,1,34,0,51,195,0.0026
16,10,5,0,22,0,70,20,0.109
16,9,6,0,15,0,50,45,0.0518
16,8,1,0,24,0,63,50,0.0325
16,7,10,0,27,0,69,90,0.0173
16,6,4,0,17,0,52,220,0.0094
16,5,7,0,33,0,60,110,0.0074
16,4,2,0,31,0,59,150,0.006
16,3,9,0,35,0,55,100,0.0057
16,2,3,0,29,0,59,275,0.0038
16,1,8,0,34,0,51,195,0.0026
17,10,2,1,22,0,70,20,0.109
17,9,10,1,15,0,50,45,0.0518
17,8,9,1,24,0,63,50,0.0325
17,7,3,1,27,0,69,90,0.0173
17,6,4,1,17,0,52,220,0.0094
17,5,5,1,33,0,60,110,0.0074
17,4,6,0,31,0,59,150,0.006
17,3,8,1,35,0,55,100,0.0057
17,2,1,0,29,0,59,275,0.0038
17,1,7,0,34,0,51,195,0.0026
18,10,8,1,22,0,70,20,0.109
18,9,1,1,15,0,50,45,0.0518
18,8,3,1,24,0,63,50,0.0325
18,7,5,1,27,0,69,90,0.0173
18,6,10,1,17,0,52,220,0.0094
18,5,4,0,33,0,60,110,0.0074
18,4,7,0,31,0,59,150,0.006
18,3,6,0,35,0,55,100,0.0057
18,2,2,0,29,0,59,275,0.0038
18,1,9,0,34,0,51,195,0.0026
19,10,1,1,22,0,70,20,0.109
19,9,8,1,15,0,50,45,0.0518
19,8,7,1,24,0,63,50,0.0325
19,7,4,1,27,0,69,90,0.0173
19,6,9,1,17,0,52,220,0.0094
19,5,3,1,33,0,60,110,0.0074
19,4,10,0,31,0,59,150,0.006
19,3,2,0,35,0,55,100,0.0057
19,2,6,0,29,0,59,275,0.0038
19,1,5,0,34,0,51,195,0.0026
20,10,5,1,22,0,70,20,0.109
20,9,1,1,15,0,50,45,0.0518
20,8,9,1,24,0,63,50,0.0325
20,7,7,1,27,0,69,90,0.0173
20,6,10,1,17,0,52,220,0.0094
20,5,6,1,33,0,60,110,0.0074
20,4,3,1,31,0,59,150,0.006
20,3,2,1,35,0,55,100,0.0057
20,2,4,1,29,0,59,275,0.0038
20,1,8,0,34,0,51,195,0.0026
21,10,9,1,22,0,70,20,0.109
21,9,2,1,15,0,50,45,0.0518
21,8,3,1,24,0,63,50,0.0325
21,7,6,1,27,0,69,90,0.0173
21,6,7,1,17,0,52,220,0.0094
21,5,10,1,33,0,60,110,0.0074
21,4,8,1,31,0,59,150,0.006
21,3,1,1,35,0,55,100,0.0057
21,2,4,1,29,0,59,275,0.0038
21,1,5,1,34,0,51,195,0.0026
22,10,6,1,22,0,70,20,0.109
22,9,8,1,15,0,50,45,0.0518
22,8,7,1,24,0,63,50,0.0325
22,7,5,1,27,0,69,90,0.0173
22,6,1,1,17,0,52,220,0.0094
22,5,4,1,33,0,60,110,0.0074
22,4,10,1,31,0,59,150,0.006
22,3,9,0,35,0,55,100,0.0057
22,2,2,1,29,0,59,275,0.0038
22,1,3,0,34,0,51,195,0.0026
23,10,2,1,22,0,70,20,0.109
23,9,4,1,15,0,50,45,0.0518
23,8,6,1,24,0,63,50,0.0325
23,7,9,1,27,0,69,90,0.0173
23,6,10,0,17,0,52,220,0.0094
23,5,5,1,33,0,60,110,0.0074
23,4,8,0,31,0,59,150,0.006
23,3,1,1,35,0,55,100,0.0057
23,2,7,0,29,0,59,275,0.0038
23,1,3,1,34,0,51,195,0.0026
24,10,2,1,22,0,70,20,0.109
24,9,5,1,15,0,50,45,0.0518
24,8,6,1,24,0,63,50,0.0325
24,7,1,1,27,0,69,90,0.0173
24,6,3,0,17,0,52,220,0.0094
24,5,7,0,33,0,60,110,0.0074
24,4,9,0,31,0,59,150,0.006
24,3,4,0,35,0,55,100,0.0057
24,2,8,0,29,0,59,275,0.0038
24,1,10,0,34,0,51,195,0.0026
25,10,7,1,22,0,70,20,0.109
25,9,2,1,15,0,50,45,0.0518
25,8,3,0,24,0,63,50,0.0325
25,7,6,0,27,0,69,90,0.0173
25,6,9,0,17,0,52,220,0.0094
25,5,10,0,33,0,60,110,0.0074
25,4,8,0,31,0,59,150,0.006
25,3,5,0,35,0,55,100,0.0057
25,2,4,0,29,0,59,275,0.0038
25,1,1,0,34,0,51,195,0.0026
26,10,9,1,22,0,70,20,0.109
26,9,5,1,15,0,50,45,0.0518
26,8,1,1,24,0,63,50,0.0325
26,7,4,1,27,0,69,90,0.0173
26,6,8,1,17,0,52,220,0.0094
26,5,10,0,33,0,60,110,0.0074
26,4,7,0,31,0,59,150,0.006
26,3,3,0,35,0,55,100,0.0057
26,2,2,0,29,0,59,275,0.0038
26,1,6,0,34,0,51,195,0.0026
27,10,6,1,22,0,70,20,0.109
27,9,9,1,15,0,50,45,0.0518
27,8,5,1,24,0,63,50,0.0325
27,7,1,1,27,0,69,90,0.0173
27,6,4,1,17,0,52,220,0.0094
27,5,7,1,33,0,60,110,0.0074
27,4,3,1,31,0,59,150,0.006
27,3,10,1,35,0,55,100,0.0057
27,2,8,0,29,0,59,275,0.0038
27,1,2,0,34,0,51,195,0.0026
28,10,9,1,22,0,70,20,0.109
28,9,5,1,15,0,50,45,0.0518
28,8,6,1,24,0,63,50,0.0325
28,7,10,1,27,0,69,90,0.0173
28,6,7,0,17,0,52,220,0.0094
28,5,8,0,33,0,60,110,0.0074
28,4,4,0,31,0,59,150,0.006
28,3,2,0,35,0,55,100,0.0057
28,2,1,0,29,0,59,275,0.0038
28,1,3,0,34,0,51,195,0.0026
29,10,4,1,22,0,70,20,0.109
29,9,2,1,15,0,50,45,0.0518
29,8,8,1,24,0,63,50,0.0325
29,7,1,1,27,0,69,90,0.0173
29,6,3,1,17,0,52,220,0.0094
29,5,7,0,33,0,60,110,0.0074
29,4,6,0,31,0,59,150,0.006
29,3,5,0,35,0,55,100,0.0057
29,2,9,0,29,0,59,275,0.0038
29,1,10,0,34,0,51,195,0.0026
30,10,9,1,22,0,70,20,0.109
30,9,5,1,15,0,50,45,0.0518
30,8,1,0,24,0,63,50,0.0325
30,7,4,1,27,0,69,90,0.0173
30,6,8,1,17,0,52,220,0.0094
30,5,10,1,33,0,60,110,0.0074
30,4,7,0,31,0,59,150,0.006
30,3,3,1,35,0,55,100,0.0057
30,2,2,0,29,0,59,275,0.0038
30,1,6,0,34,0,51,195,0.0026
31,10,7,1,22,0,70,20,0.109
31,9,2,1,15,0,50,45,0.0518
31,8,4,1,24,0,63,50,0.0325
31,7,1,1,27,0,69,90,0.0173
31,6,6,1,17,0,52,220,0.0094
31,5,8,1,33,0,60,110,0.0074
31,4,5,0,31,0,59,150,0.006
31,3,3,1,35,0,55,100,0.0057
31,2,9,0,29,0,59,275,0.0038
31,1,10,0,34,0,51,195,0.0026
32,10,9,1,22,0,70,20,0.109
32,9,3,0,15,0,50,45,0.0518
32,8,10,0,24,0,63,50,0.0325
32,7,7,0,27,0,69,90,0.0173
32,6,5,0,17,0,52,220,0.0094
32,5,6,0,33,0,60,110,0.0074
32,4,2,0,31,0,59,150,0.006
32,3,1,0,35,0,55,100,0.0057
32,2,4,0,29,0,59,275,0.0038
32,1,8,0,34,0,51,195,0.0026
33,10,2,1,22,0,70,20,0.109
33,9,8,1,15,0,50,45,0.0518
33,8,5,1,24,0,63,50,0.0325
33,7,1,1,27,0,69,90,0.0173
33,6,9,1,17,0,52,220,0.0094
33,5,10,1,33,0,60,110,0.0074
33,4,4,1,31,0,59,150,0.006
33,3,6,1,35,0,55,100,0.0057
33,2,3,1,29,0,59,275,0.0038
33,1,7,1,34,0,51,195,0.0026
34,10,1,0,22,0,70,20,0.109
34,9,4,1,15,0,50,45,0.0518
34,8,10,1,24,0,63,50,0.0325
34,7,5,0,27,0,69,90,0.0173
34,6,8,1,17,0,52,220,0.0094
34,5,7,0,33,0,60,110,0.0074
34,4,6,0,31,0,59,150,0.006
34,3,9,0,35,0,55,100,0.0057
34,2,2,0,29,0,59,275,0.0038
34,1,3,0,34,0,51,195,0.0026
35,10,5,1,22,0,70,20,0.109
35,9,7,1,15,0,50,45,0.0518
35,8,3,1,24,0,63,50,0.0325
35,7,9,1,27,0,69,90,0.0173
35,6,6,1,17,0,52,220,0.0094
35,5,8,0,33,0,60,110,0.0074
35,4,1,0,31,0,59,150,0.006
35,3,2,0,35,0,55,100,0.0057
35,2,4,0,29,0,59,275,0.0038
35,1,10,0,34,0,51,195,0.0026
36,10,10,1,22,0,70,20,0.109
36,9,2,1,15,0,50,45,0.0518
36,8,1,1,24,0,63,50,0.0325
36,7,6,1,27,0,69,90,0.0173
36,6,5,1,17,0,52,220,0.0094
36,5,4,1,33,0,60,110,0.0074
36,4,9,1,31,0,59,150,0.006
36,3,3,0,35,0,55,100,0.0057
36,2,7,0,29,0,59,275,0.0038
36,1,8,0,34,0,51,195,0.0026
37,10,6,1,22,0,70,20,0.109
37,9,9,1,15,0,50,45,0.0518
37,8,8,1,24,0,63,50,0.0325
37,7,7,1,27,0,69,90,0.0173
37,6,1,1,17,0,52,220,0.0094
37,5,4,1,33,0,60,110,0.0074
37,4,5,1,31,0,59,150,0.006
37,3,3,1,35,0,55,100,0.0057
37,2,10,0,29,0,59,275,0.0038
37,1,2,1,34,0,51,195,0.0026
38,10,1,1,22,0,70,20,0.109
38,9,9,1,15,0,50,45,0.0518
38,8,6,1,24,0,63,50,0.0325
38,7,5,1,27,0,69,90,0.0173
38,6,7,1,17,0,52,220,0.0094
38,5,2,0,33,0,60,110,0.0074
38,4,4,1,31,0,59,150,0.006
38,3,8,1,35,0,55,100,0.0057
38,2,10,1,29,0,59,275,0.0038
38,1,3,0,34,0,51,195,0.0026
39,10,1,1,22,0,70,20,0.109
39,9,10,1,15,0,50,45,0.0518
39,8,4,1,24,0,63,50,0.0325
39,7,7,1,27,0,69,90,0.0173
39,6,3,0,17,0,52,220,0.0094
39,5,8,0,33,0,60,110,0.0074
39,4,7,0,31,0,59,150,0.006
39,3,5,0,35,0,55,100,0.0057
39,2,9,0,29,0,59,275,0.0038
39,1,2,0,34,0,51,195,0.0026
40,10,5,1,22,0,70,20,0.109
40,9,1,1,15,0,50,45,0.0518
40,8,6,1,24,0,63,50,0.0325
40,7,2,0,27,0,69,90,0.0173
40,6,7,0,17,0,52,220,0.0094
40,5,8,0,33,0,60,110,0.0074
40,4,4,0,31,0,59,150,0.006
40,3,10,0,35,0,55,100,0.0057
40,2,9,0,29,0,59,275,0.0038
40,1,3,0,34,0,51,195,0.0026
41,10,5,1,22,0,70,20,0.109
41,9,1,1,15,0,50,45,0.0518
41,8,6,1,24,0,63,50,0.0325
41,7,2,0,27,0,69,90,0.0173
41,6,7,0,17,0,52,220,0.0094
41,5,8,0,33,0,60,110,0.0074
41,4,4,0,31,0,59,150,0.006
41,3,10,0,35,0,55,100,0.0057
41,2,9,0,29,0,59,275,0.0038
41,1,3,0,34,0,51,195,0.0026
42,10,10,1,22,0,70,20,0.109
42,9,8,1,15,0,50,45,0.0518
42,8,1,1,24,0,63,50,0.0325
42,7,9,1,27,0,69,90,0.0173
42,6,2,1,17,0,52,220,0.0094
42,5,7,1,33,0,60,110,0.0074
42,4,4,1,31,0,59,150,0.006
42,3,3,1,35,0,55,100,0.0057
42,2,6,1,29,0,59,275,0.0038
42,1,5,1,34,0,51,195,0.0026
43,10,5,1,22,0,70,20,0.109
43,9,4,1,15,0,50,45,0.0518
43,8,1,1,24,0,63,50,0.0325
43,7,2,0,27,0,69,90,0.0173
43,6,6,0,17,0,52,220,0.0094
43,5,9,0,33,0,60,110,0.0074
43,4,10,0,31,0,59,150,0.006
43,3,3,0,35,0,55,100,0.0057
43,2,7,0,29,0,59,275,0.0038
43,1,8,0,34,0,51,195,0.0026
44,10,7,1,22,0,70,20,0.109
44,9,1,1,15,0,50,45,0.0518
44,8,6,1,24,0,63,50,0.0325
44,7,8,1,27,0,69,90,0.0173
44,6,9,1,17,0,52,220,0.0094
44,5,3,1,33,0,60,110,0.0074
44,4,5,1,31,0,59,150,0.006
44,3,10,1,35,0,55,100,0.0057
44,2,2,1,29,0,59,275,0.0038
44,1,4,1,34,0,51,195,0.0026
45,10,10,1,22,0,70,20,0.109
45,9,5,1,15,0,50,45,0.0518
45,8,6,1,24,0,63,50,0.0325
45,7,1,0,27,0,69,90,0.0173
45,6,8,0,17,0,52,220,0.0094
45,5,9,0,33,0,60,110,0.0074
45,4,3,0,31,0,59,150,0.006
45,3,4,0,35,0,55,100,0.0057
45,2,7,0,29,0,59,275,0.0038
45,1,2,0,34,0,51,195,0.0026
46,10,10,1,22,0,70,20,0.109
46,9,8,1,15,0,50,45,0.0518
46,8,6,1,24,0,63,50,0.0325
46,7,3,1,27,0,69,90,0.0173
46,6,9,1,17,0,52,220,0.0094
46,5,7,1,33,0,60,110,0.0074
46,4,2,1,31,0,59,150,0.006
46,3,4,1,35,0,55,100,0.0057
46,2,1,1,29,0,59,275,0.0038
46,1,5,1,34,0,51,195,0.0026
47,10,10,1,22,0,70,20,0.109
47,9,5,1,15,0,50,45,0.0518
47,8,6,1,24,0,63,50,0.0325
47,7,1,1,27,0,69,90,0.0173
47,6,8,1,17,0,52,220,0.0094
47,5,9,1,33,0,60,110,0.0074
47,4,3,0,31,0,59,150,0.006
47,3,4,1,35,0,55,100,0.0057
47,2,7,0,29,0,59,275,0.0038
47,1,2,0,34,0,51,195,0.0026
48,10,3,1,22,0,70,20,0.109
48,9,10,1,15,0,50,45,0.0518
48,8,7,1,24,0,63,50,0.0325
48,7,8,1,27,0,69,90,0.0173
48,6,1,1,17,0,52,220,0.0094
48,5,5,1,33,0,60,110,0.0074
48,4,6,1,31,0,59,150,0.006
48,3,2,0,35,0,55,100,0.0057
48,2,9,0,29,0,59,275,0.0038
48,1,4,0,34,0,51,195,0.0026
49,10,5,1,22,0,70,20,0.109
49,9,2,1,15,0,50,45,0.0518
49,8,7,1,24,0,63,50,0.0325
49,7,8,1,27,0,69,90,0.0173
49,6,3,1,17,0,52,220,0.0094
49,5,10,1,33,0,60,110,0.0074
49,4,4,1,31,0,59,150,0.006
49,3,9,0,35,0,55,100,0.0057
49,2,7,1,29,0,59,275,0.0038
49,1,1,0,34,0,51,195,0.0026
50,10,1,1,22,0,70,20,0.109
50,9,9,1,15,0,50,45,0.0518
50,8,3,1,24,0,63,50,0.0325
50,7,4,1,27,0,69,90,0.0173
50,6,6,0,17,0,52,220,0.0094
50,5,7,0,33,0,60,110,0.0074
50,4,10,0,31,0,59,150,0.006
50,3,2,0,35,0,55,100,0.0057
50,2,8,0,29,0,59,275,0.0038
50,1,5,0,34,0,51,195,0.0026
51,10,10,1,22,0,70,20,0.109
51,9,5,1,15,0,50,45,0.0518
51,8,3,1,24,0,63,50,0.0325
51,7,9,1,27,0,69,90,0.0173
51,6,2,1,17,0,52,220,0.0094
51,5,4,1,33,0,60,110,0.0074
51,4,7,1,31,0,59,150,0.006
51,3,6,1,35,0,55,100,0.0057
51,2,8,1,29,0,59,275,0.0038
51,1,1,1,34,0,51,195,0.0026
52,10,2,1,22,0,70,20,0.109
52,9,6,1,15,0,50,45,0.0518
52,8,1,0,24,0,63,50,0.0325
52,7,7,1,27,0,69,90,0.0173
52,6,8,0,17,0,52,220,0.0094
52,5,5,0,33,0,60,110,0.0074
52,4,9,0,31,0,59,150,0.006
52,3,4,0,35,0,55,100,0.0057
52,2,3,0,29,0,59,275,0.0038
52,1,10,0,34,0,51,195,0.0026
53,10,8,1,22,0,70,20,0.109
53,9,6,1,15,0,50,45,0.0518
53,8,2,0,24,0,63,50,0.0325
53,7,10,1,27,0,69,90,0.0173
53,6,5,1,17,0,52,220,0.0094
53,5,9,0,33,0,60,110,0.0074
53,4,3,0,31,0,59,150,0.006
53,3,4,0,35,0,55,100,0.0057
53,2,1,0,29,0,59,275,0.0038
53,1,7,0,34,0,51,195,0.0026
54,10,9,1,22,0,70,20,0.109
54,9,4,1,15,0,50,45,0.0518
54,8,3,1,24,0,63,50,0.0325
54,7,7,1,27,0,69,90,0.0173
54,6,1,1,17,0,52,220,0.0094
54,5,5,1,33,0,60,110,0.0074
54,4,2,1,31,0,59,150,0.006
54,3,6,1,35,0,55,100,0.0057
54,2,8,1,29,0,59,275,0.0038
54,1,10,1,34,0,51,195,0.0026
