common_name,species,group,year
Bonobo,Pan paniscus,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Grey parrot,Psittacus erithacus,Parrot,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Zebra finch,Taeniopygia guttata,Songbird,2010-2015
Bengalese finch,Lonchura striata,Songbird,2010-2015
Estrildid finch,Stagonopleura guttata,Songbird,2010-2015
Horse,Equus caballus ferus,Mammal,2010-2015
Plains zebra,Equus quagga,Mammal,2010-2015
Asian elephant,Elephas maximus,Mammal,2010-2015
Zebrafish,Danio rerio,Fish,2010-2015
Japanese macaque,Macaca fuscata,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Tree shrew,Tupaia belangeri,Mammal,2010-2015
Hamster,Mesocricetus auratus,Rodent,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Gray seal,Halichoerus grypus,Marine mammal,2010-2015
Common marmoset,Callithrix jacchus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Bumblebee,Bombus impatiens,Insect,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Toad,Rhinella arenarum,Amphibian,2010-2015
Lion-tailed macaque,Macaca silenus,Primate,2010-2015
Hamadryas baboon,Papio hamaryas,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Squirrel monkey,Saimiri sciureus,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Long-tailed macaque,Macaca fascicularis,Primate,2010-2015
New Caledonian crow,Corvus moneduloides,Corvid,2010-2015
Ground squirrel,Ictidomys tridecemlineatus,Rodent,2010-2015
Tonkean macaque,Macaca tonkeana,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Horse,Equus caballus,Mammal,2010-2015
Human,Homo sapiens,Primate,2010-2015
Pig,Sus scrofa,Mammal,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Budgerigar,Melopsittacus undulatus,Parrot,2010-2015
Human,Homo sapiens,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Mouse,Mus musculus,Rodent,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Clark’s nutcracker,Nucifraga columbiana,Corvid,2010-2015
Mountain gorilla,Gorilla beringei beringei,Primate,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Human,Homo sapiens,Primate,2010-2015
Budgerigar,Melopsittacus undulatus,Parrot,2010-2015
Red-shouldered macaw,Diopsittaca nobilis,Parrot,2010-2015
Black-headed caique,Pionites melanocephala,Parrot,2010-2015
Goffin’s cockatoo,Cacatua goffini,Parrot,2010-2015
Raven,Corvus corax,Corvid,2010-2015
Jackdaw,Corvus monedula,Corvid,2010-2015
New Caledonian crow,Corvus moneduloides,Corvid,2010-2015
Zebrafish,Danio rerio,Fish,2010-2015
Angelfish,Pterophyllum scalare,Fish,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Horse,Equus caballus ferus,Mammal,2010-2015
European starling,Sturnus vulgaris,Songbird,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Black-capped chickadee,Poecile atricapillus,Songbird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Domestic cat,Felis silvestris catus,Felid,2010-2015
Scottish wildcat,Felis silvestris grampia,Felid,2010-2015
Clouded leopard,Neofelis nebulosa,Felid,2010-2015
Snow leopard,Panthera uncia,Felid,2010-2015
African lion,Panthera leo,Felid,2010-2015
Octopus,Octopus vulgaris,Cephalopod,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Chicken,Gallus gallus,Bird,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Grey parrot,Psittacus erithacus,Parrot,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Wrasse,Labroides dimidiatus,Fish,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
New Zealand robin,Petroica longipes,Bird,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Human,Homo sapiens,Primate,2010-2015
Japanese macaque,Macaca fuscata,Primate,2010-2015
Chicken,Gallus gallus,Bird,2010-2015
Emperor tamarin,Saguinus imperator,Primate,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Cotton-top tamarin,Saguinus oedipus,Primate,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Pinyon jay,Gymnorhinus cyanocephalus,Corvid,2010-2015
Jackdaw,Corvus monedula,Corvid,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Green crab,Carcinus maenas,Crustacean,2010-2015
Blue crab,Callinectes sapidus,Crustacean,2010-2015
Fiddler crab,Uca pugnax,Crustacean,2010-2015
Cavie,Cavia aperea,Rodent,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Goffin’s cockatoo,Cacatua goffini,Parrot,2010-2015
Honey bee,Apis mellifera,Insect,2010-2015
songbird,Uraeginthus cyanocephalus,Songbird,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Baboon,Papio papio,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Fire-bellied toad,Bombina orientalis,Amphibian,2010-2015
California sea lion,Zalophus californianus,Marine mammal,2010-2015
Eurasian jay,Garrulus glandarius,Corvid,2010-2015
De Brazza's monkey,Cercopithecus neglectus,Primate,2010-2015
Red-capped mangabey,Cercocebus torquatus,Primate,2010-2015
Pallas’ long-tongued bat,Glossophaga soricina,Bat,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Zebra finch,Taeniopygia guttata,Songbird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Baboon,Papio papio,Primate,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Eastern box turtle,Terrapene carolina,Reptile,2010-2015
Campbell’s monkey,Cercopithecus campbelli,Primate,2010-2015
Grey parrot,Psittacus erithacus,Parrot,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
White-faced capuchin,Cebus capucinus,Primate,2010-2015
Bumblebee,Bombus impatiens,Insect,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Gray wolf,Canis lupus,Canid,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Chinchilla,Chinchilla laniger,Rodent,2010-2015
Ninespine stickleback,Pungitius pungitius,Fish,2010-2015
Green treefrog,Hyla cinerea,Amphibian,2010-2015
Cope’s gray treefrog,Hyla chrysoscelis,Amphibian,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Baboon,Papio papio,Primate,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Japanese macaque,Macaca fuscata,Primate,2010-2015
Capuchin monkey,Cebus apella,Primate,2010-2015
Common marmoset,Callithrix jacchus,Primate,2010-2015
European starling,Sturnus vulgaris,Songbird,2010-2015
Tree shrew,Tupaia belangeri,Mammal,2010-2015
turtle,Podocnemis expansa,Reptile,2010-2015
Japanese quail,Coturnix japonica,Bird,2010-2015
Cowbird,Molothrus ater,Songbird,2010-2015
Striped crayfish snake,Regina alleni,Reptile,2010-2015
Green frog,Pelophylax perezi,Amphibian,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Common marmoset,Callithrix jacchus,Primate,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
mouse,Peromyscus,Rodent,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Black bear,Ursus americanus,Mammal,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Raven,Corvus corax,Corvid,2010-2015
Carrion crow,Corvus corone,Corvid,2010-2015
Newt,Cynops pyrrhogaster,Amphibian,2010-2015
Black bear,Ursus americanus,Mammal,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Grey parrot,Psittacus erithacus,Parrot,2010-2015
Jackdaw,Corvus monedula,Corvid,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Orca,Orcinus orca,Marine mammal,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Pigeon,Columba livia,Bird,2010-2015
turtle,Pseudemys nelsoni,Reptile,2010-2015
turtle,Trachemys scripta,Reptile,2010-2015
African elephant,Loxodonta africana,Mammal,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Common marmoset,Callithrix jacchus,Primate,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Red-footed tortoise,Geochelone carbonaria,Reptile,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Budgerigar,Melopsittacus undulatus,Parrot,2010-2015
Common marmoset,Callithrix jacchus,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Wall lizard,Podarcis muralis,Reptile,2010-2015
Human,Homo sapiens,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Zebra finch,Taeniopygia guttata,Songbird,2010-2015
Domestic cat,Felis silvestris catus,Felid,2010-2015
Domestic cat,Felis silvestris catus,Felid,2010-2015
Red-capped mangabey,Cercocebus torquatus,Primate,2010-2015
Black-capped chickadee,Poecile atricapillus,Songbird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Carolina chickadee,Poecile carolinensis,Songbird,2010-2015
Hamster,Mesocricetus auratus,Rodent,2010-2015
Wall lizard,Podarcis muralis,Reptile,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Least chipmunks,Tamias minimus,Rodent,2010-2015
Eastern chipmunks,Tamias striatus,Rodent,2010-2015
Australian sea lion,Neophoca cinerea,Marine mammal,2010-2015
Tonkean macaque,Macaca tonkeana,Primate,2010-2015
turtle,Pseudemys nelsoni,Reptile,2010-2015
Chicken,Gallus gallus,Bird,2010-2015
Budgerigar,Melopsittacus undulatus,Parrot,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Bonobo,Pan paniscus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Lowland gorilla,Gorilla gorilla,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
reef fish, Variola louti,Fish,2010-2015
reef fish,Scarus niger,Fish,2010-2015
Zebrafish,Danio rerio,Fish,2010-2015
Goldfish,Carassius auratus,Fish,2010-2015
toad,Rhinella arenarum,Amphibian,2010-2015
Black-capped chickadee,Poecile atricapillus,Songbird,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Human,Homo sapiens,Primate,2010-2015
megachiropteran bat,Pteropus pumilus,Bat,2010-2015
megachiropteran bat,Pteropus rodricensis,Bat,2010-2015
megachiropteran bat,Pteropus conspicillatus,Bat,2010-2015
megachiropteran bat,Pteropus vampyrus,Bat,2010-2015
Squirrel monkey,Saimiri sciureus,Primate,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
lizard,Podarcis hispanica,Reptile,2010-2015
Cotton-top tamarin,Saguinus oedipus,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Gartersnake,Thamnophis sirtalis,Reptile,2010-2015
Rainbow lorikeet,Trichoglossus haematodus,Parrot,2010-2015
Zebra finch,Taeniopygia guttata,Songbird,2010-2015
Jackdaw,Corvus monedula,Corvid,2010-2015
Grey parrot,Psittacus erithacus,Parrot,2010-2015
Hamster,Mesocricetus auratus,Rodent,2010-2015
Dog ,Canis familiaris,Canid,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Japanese macaque,Macaca fuscata,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rough-necked monitor lizard,Varanus rudicollis,Reptile,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Yucatan banded gecko,Coleonyx elegans,Reptile,2010-2015
Crayfish,Orconectes rusticus,Crustacean,2010-2015
Hissing cockroach,Gromphadorhina portentosa,Insect,2010-2015
Japanese macaque,Macaca fuscata,Primate,2010-2015
Squirrel monkey,Saimiri sciureus,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
gibbon,Symphalangus spp.,Primate,2010-2015
gibbon,Nomascus spp.,Primate,2010-2015
gibbon,Hylobytes spp.,Primate,2010-2015
Siamang,Symphalangus syndactylus,Primate,2010-2015
Spider monkey,Ateles geoffroyi,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Greylag goose,Anser anser,Bird,2010-2015
Spider monkey,Ateles geoffroyi,Primate,2010-2015
Gelada baboon,Theropithecus gelada,Primate,2010-2015
Pigeon,Columba livia,Bird,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Orangutan,Pongo spp.,Primate,2010-2015
Chimpanzee,Pan troglodytes,Primate,2010-2015
Capuchin monkey,Sapajus apella,Primate,2010-2015
Human,Homo sapiens,Primate,2010-2015
Rat,Rattus norvegicus,Rodent,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
Common marmoset,Callithrix jacchus,Primate,2010-2015
Gray treefrogs,Hyla chrysoscelis,Amphibian,2010-2015
Japanese macaque,Macaca fuscata,Primate,2010-2015
Gray cheeked mangabey,Lophocebus albigena,Primate,2010-2015
Rhesus macaque,Macaca mulatta,Primate,2010-2015
